,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karrāpur,23.95,78.85,87.49,20,17,9.93,IN,1651352930
1,Severo-Kuril'sk,50.6789,156.125,35.17,79,100,9.53,RU,1651352930
2,Ushuaia,-54.8,-68.3,40.66,75,0,0.0,AR,1651352864
3,New Norfolk,-42.7826,147.0587,56.91,69,100,7.0,AU,1651352931
4,Rikitea,-23.1203,-134.9692,76.03,75,52,10.67,PF,1651352932
5,Arraial do Cabo,-22.9661,-42.0278,75.06,83,75,2.3,BR,1651352933
6,George Town,5.4112,100.3354,82.33,89,20,0.0,MY,1651352594
7,Busselton,-33.65,115.3333,54.88,87,0,5.48,AU,1651352933
8,Mataura,-46.1927,168.8643,63.48,83,100,3.94,NZ,1651352934
9,Port Alfred,-33.5906,26.891,57.18,84,1,4.0,ZA,1651352934
10,Porto-Novo,6.4965,2.6036,80.69,79,64,6.2,BJ,1651352935
11,Tornio,65.8481,24.1466,26.62,86,67,4.14,FI,1651352936
12,Port-Gentil,-0.7193,8.7815,81.81,80,99,13.22,GA,1651352936
13,Mutoko,-17.397,32.2268,58.96,58,0,2.91,ZW,1651352937
14,Ancud,-41.8697,-73.8203,50.85,85,100,6.64,CL,1651352937
15,Ponta Delgada,37.7333,-25.6667,67.5,88,20,6.91,PT,1651352938
16,Yulara,-25.2406,130.9889,59.83,51,100,13.51,AU,1651352938
17,Saint Paul Harbor,57.79,-152.4072,40.51,87,100,27.63,US,1651352939
18,Egvekinot,66.3167,-179.1667,15.64,79,100,11.1,RU,1651352940
19,Bluff,-46.6,168.3333,63.81,64,100,11.83,NZ,1651352940
20,Saldanha,-33.0117,17.9442,58.69,88,8,12.37,ZA,1651352941
21,Talnakh,69.4865,88.3972,18.21,97,100,9.19,RU,1651352941
22,Cidreira,-30.1811,-50.2056,65.91,71,100,11.68,BR,1651352942
23,São Filipe,14.8961,-24.4956,72.07,77,85,9.08,CV,1651352942
24,Clyde River,70.4692,-68.5914,16.03,92,100,4.61,CA,1651352943
25,Santander,43.4647,-3.8044,57.45,91,20,2.3,ES,1651352943
26,Fortuna,40.5982,-124.1573,56.93,84,100,8.05,US,1651352944
27,Longyearbyen,78.2186,15.6401,10.24,67,0,4.61,SJ,1651352944
28,Albany,42.6001,-73.9662,63.41,25,90,1.99,US,1651352945
29,Pangkalanbuun,-2.6833,111.6167,75.27,97,100,1.83,ID,1651352946
